NR_4.0_29909.1 4V9Q DV
NR_4.0_11741.1 7OYB 22
NR_4.0_90819.1 413D A
NR_4.0_68957.1 2PJP B
NR_4.0_87230.1 3JB9 C
NR_4.0_24351.1 7XS4 B
NR_4.0_45251.1 5VPO XV
NR_4.0_56203.1 5I4A D
NR_4.0_71707.1 2VON C
NR_4.0_73551.1 1SDS D
NR_4.0_01522.1 6T0V R,M
NR_4.0_89775.1 7V94 B
NR_4.0_68255.1 7ZHH C
NR_4.0_01551.1 6YWY bb
NR_4.0_82993.1 5YTX B
NR_4.0_33509.1 3MDI C
NR_4.0_78685.1 4NH5 B
NR_4.0_28126.1 7WV5 E
NR_4.0_54715.1 7Q4K D2
NR_4.0_35945.1 6Q97 7
NR_4.0_80035.1 5W6V R
NR_4.0_31040.1 5ZTM C
NR_4.0_80055.1 1RLG D
NR_4.0_38769.1 5I9D B
NR_4.0_57688.1 409D C,D
NR_4.0_47227.1 4G0A H
NR_4.0_38781.1 3R9W B
NR_4.0_48507.1 5GJB B
NR_4.0_56975.1 5CKI D
NR_4.0_04840.1 3UZT B
NR_4.0_80680.1 3R1D E
NR_4.0_75875.1 3SN2 B
NR_4.0_12982.1 7X34 3
NR_4.0_08340.1 7N0D I,L,J
NR_4.0_45028.1 7TNY C,B
NR_4.0_26836.2 4BW0 A
NR_4.0_12236.1 6ZWW H
NR_4.0_49345.1 7OYC 71
NR_4.0_59164.1 7EU0 O,R
NR_4.0_19332.1 6R9P B
NR_4.0_84648.1 6D90 4
NR_4.0_89190.1 5GAM W
NR_4.0_21975.1 5ZQ1 B
NR_4.0_73392.1 7TJ2 G,H
NR_4.0_53333.1 8AW3 1
NR_4.0_50760.1 6TQB B
NR_4.0_50754.1 4E7A P,T
NR_4.0_13603.1 7KQN E
NR_4.0_42919.1 6RIN R
NR_4.0_36867.1 3P49 A
NR_4.0_79282.1 3FTM D,C
NR_4.0_47453.1 6W64 B
NR_4.0_32018.1 7NAD 2
NR_4.0_60357.1 3KOA B,C
NR_4.0_98303.1 4N48 D
NR_4.0_78647.1 6KUG B
NR_4.0_65768.1 3AEV C
NR_4.0_55025.1 7QQP A
NR_4.0_78175.1 3ICE G
NR_4.0_84932.1 5WWF B
NR_4.0_81754.1 6LLB C
NR_4.0_87252.1 2Y8W B
NR_4.0_25498.1 6LLB D
NR_4.0_87272.1 7V9A R
NR_4.0_17351.3 7QVP B4
NR_4.0_46354.1 6NU2 B
NR_4.0_16422.1 1SAQ A,B
NR_4.0_97393.1 5LZD x
NR_4.0_94432.1 7REX A
NR_4.0_41964.1 4O8J D
NR_4.0_13543.1 5WZK B
NR_4.0_78109.1 6M7K B
NR_4.0_24161.1 4KXT B
NR_4.0_79523.1 3FOZ D
NR_4.0_48641.1 1M8X D
NR_4.0_24952.1 6GOV R
NR_4.0_07169.1 4P3U B,A
NR_4.0_97675.1 6N4O C,D
NR_4.0_84179.1 3WZI C
NR_4.0_38519.1 6KOP I
NR_4.0_61996.1 6NUT D
NR_4.0_52096.2 4TUW C
NR_4.0_86306.1 6C27 A
NR_4.0_25020.1 7OUO AAA,BBB
NR_4.0_63943.1 354D A,B
NR_4.0_41924.1 8ASW X
NR_4.0_32874.1 3KTW C
NR_4.0_76729.1 2ZNI C
NR_4.0_33558.1 4PCO A,B
NR_4.0_11525.1 7R81 B1
NR_4.0_06694.1 4ED5 D
NR_4.0_92005.1 4A2X L,M
NR_4.0_27475.1 7N4E R
NR_4.0_03510.49 4V88 A6
NR_4.0_69209.1 7ORN H,T
NR_4.0_37961.1 7EU9 B
NR_4.0_24457.1 6AHU A
NR_4.0_60948.1 6JIM C
NR_4.0_46712.1 7THB E
NR_4.0_08043.1 6Z6B UUU
NR_4.0_65818.1 1N33 Y,Z
NR_4.0_76009.1 7V9E A
NR_4.0_91806.3 7AQC T
NR_4.0_63494.1 6DTI X,W
NR_4.0_63930.1 6XYW 3
NR_4.0_43181.1 7DA7 C
NR_4.0_29401.1 4F1N F
NR_4.0_62996.1 6JXM B
NR_4.0_95786.1 7BGD A
NR_4.0_88533.1 6ZWW B
NR_4.0_97995.1 6ZWW F
NR_4.0_60024.1 6ZWW D
NR_4.0_59099.1 5AOX C
NR_4.0_90613.1 6G90 2
NR_4.0_64405.1 6G90 1
NR_4.0_08464.1 4B3O R
NR_4.0_13679.1 7M3T h,S
NR_4.0_24974.1 1DUQ B,A
NR_4.0_66418.1 6FQ3 B
NR_4.0_67685.1 3D2S E
NR_4.0_80872.1 3M3Y R
NR_4.0_33059.1 4X4U G
NR_4.0_26802.1 4GMA Z
NR_4.0_18349.1 6CYT N
NR_4.0_85174.1 1QF6 B
NR_4.0_54586.1 1L3Z B
NR_4.0_55924.2 1OOA C
NR_4.0_90918.1 7MQ8 L2
NR_4.0_02070.1 5CNR A,B
NR_4.0_01601.1 7D8C C
NR_4.0_80929.1 7M2V Y,n
NR_4.0_91474.1 4QK9 A
NR_4.0_67036.1 5H1L B
NR_4.0_24803.1 7CGM B
NR_4.0_05611.1 7XT4 r,a
NR_4.0_79184.1 4GCW B
NR_4.0_02858.1 2QUX F
NR_4.0_34288.1 3QJL R
NR_4.0_00896.1 2BX2 R
NR_4.0_47714.1 7MRL A
NR_4.0_92073.1 6H5S E
NR_4.0_20366.1 1QCU C,D
NR_4.0_77692.1 4BXX P
NR_4.0_79722.1 6NUE H
NR_4.0_01439.1 5TPY A
NR_4.0_35284.1 6LKQ w
NR_4.0_11127.1 7CXM J,I
NR_4.0_75931.1 5ZW4 D
NR_4.0_76648.1 1AV6 B
NR_4.0_17548.1 7JHY z
NR_4.0_14992.1 5XPA D
NR_4.0_33604.1 1ZZ5 A,C,B,D
NR_4.0_37566.1 4X2B B,C
NR_4.0_10203.1 2GIC R
NR_4.0_31561.1 4P3T A,B
NR_4.0_16754.1 4WKR D
NR_4.0_24667.1 7C08 O
NR_4.0_31116.1 7VYX C
NR_4.0_80069.1 7C08 I
NR_4.0_73303.1 5WZG B
NR_4.0_04268.1 4V99 C2
NR_4.0_45626.1 4KZ2 B,A,C
NR_4.0_07902.3 5GAN V,W
NR_4.0_04705.1 8DK7 C
NR_4.0_63313.1 6RT4 D
NR_4.0_88706.1 4JAH A,B
NR_4.0_65098.1 7C08 1
NR_4.0_71217.3 6ZMI CC
NR_4.0_93101.1 6R7G R
NR_4.0_81482.1 6F3H D
NR_4.0_22605.1 4DWA D
NR_4.0_35958.1 7Y7Q C,D
NR_4.0_53003.1 6N6C D
NR_4.0_68474.1 6IQW I
NR_4.0_47406.1 2W2H R
NR_4.0_07004.1 1S03 B
NR_4.0_06780.1 1S03 A
NR_4.0_56041.1 3AMU B
NR_4.0_86427.1 6DME A
NR_4.0_66736.1 5MSG M
NR_4.0_12608.1 3R2D R,S
NR_4.0_88496.1 1ET4 A
NR_4.0_67617.1 7Y7P C,D
NR_4.0_68486.1 6JCY I
NR_4.0_36108.1 7OLC 3
NR_4.0_39793.1 8DMB W
NR_4.0_50496.1 5YTT B
NR_4.0_17605.2 3J79 B
NR_4.0_63291.1 6GVY C,B
NR_4.0_12819.1 2XS7 B
NR_4.0_64498.1 7XPL G,H,I,J
NR_4.0_70790.1 4E5C A,B
NR_4.0_54814.1 7QIY 2
NR_4.0_59826.1 7M50 a
NR_4.0_37861.1 2JA6 P
NR_4.0_60142.1 2OIU P
NR_4.0_36247.1 2OIU Q
NR_4.0_94683.1 4XNR X
NR_4.0_11290.1 1N38 C,B
NR_4.0_65602.1 6UQ1 R
NR_4.0_04435.1 6YYM B
NR_4.0_99409.1 6QIT A,B
NR_4.0_45061.1 7JRS B,A
NR_4.0_56199.1 5NEW H
NR_4.0_65081.1 6SY6 D
NR_4.0_46289.1 7UBM R
NR_4.0_23918.1 7KI3 C
NR_4.0_11738.1 8A22 A8
NR_4.0_12051.1 8A22 A9
NR_4.0_47084.1 4QVC G
NR_4.0_83172.1 8B6Z B
NR_4.0_17854.1 5ZKJ C
NR_4.0_38557.1 8A22 A1
NR_4.0_80423.1 4MDX C
NR_4.0_46052.1 6QIC F
NR_4.0_68310.1 7KL3 B
NR_4.0_73328.1 4PWD T
NR_4.0_86975.1 3H3V P
NR_4.0_78506.1 2ZY6 A
NR_4.0_19039.1 1WPU C
NR_4.0_73115.1 4HT9 D
NR_4.0_89224.1 2F8T C,D
NR_4.0_83324.1 7Y81 B,C
NR_4.0_12322.1 333D A
NR_4.0_96800.1 7UR5 v
NR_4.0_78183.1 2Y8Y B
NR_4.0_74174.1 5KPY A
NR_4.0_32675.1 3TS2 V
NR_4.0_21945.1 3TS2 U
NR_4.0_78414.1 6MPF X,W
NR_4.0_48295.1 7NHM D
NR_4.0_57614.1 5VO8 I
NR_4.0_25335.1 6LT7 C
NR_4.0_50652.1 4RBY A
NR_4.0_87638.1 5YTV B
NR_4.0_45442.1 397D A,B
NR_4.0_34246.1 5TSN P,T
NR_4.0_15508.1 3TRZ U
NR_4.0_16232.2 5L00 A,B
NR_4.0_22273.1 6AZ3 3
NR_4.0_60178.1 6AZ3 2
NR_4.0_16377.1 5JCF Y,X
NR_4.0_91296.1 6AZ3 6
NR_4.0_41222.1 6AZ3 5
NR_4.0_01258.2 6AZ3 4
NR_4.0_69984.2 6AZ3 8
NR_4.0_06823.1 2JA8 P
NR_4.0_73428.17 7QI4 B
NR_4.0_52787.1 6NTA XV,XX
NR_4.0_57460.3 4P95 A
NR_4.0_96179.1 7RYG w
NR_4.0_65669.1 7UNW a
NR_4.0_20129.1 6RM3 L50
NR_4.0_74928.1 5V7C C
NR_4.0_66328.1 5M0H A
NR_4.0_60628.1 6MWN B
NR_4.0_01806.1 3IAB R
NR_4.0_24366.1 6R5Q 3
NR_4.0_98916.1 3CZW X
NR_4.0_90447.1 7DMQ B,C
NR_4.0_64727.1 7UNW B
NR_4.0_10370.1 7R81 A2
NR_4.0_96834.1 7NSJ AY
NR_4.0_62752.1 3EQT C,D
NR_4.0_42542.1 7SOV B
NR_4.0_92607.1 7MQ8 L0
NR_4.0_19551.5 6GAZ AA
NR_4.0_82438.1 8AF0 C,D
NR_4.0_43274.1 4P97 A,B
NR_4.0_41328.1 7QEP 3
NR_4.0_01428.1 6KUJ V,R
NR_4.0_14742.1 7RZZ B
NR_4.0_76225.1 6IFL J,I
NR_4.0_47162.1 3PDR X
NR_4.0_90371.1 5WZJ B
NR_4.0_31982.1 7ONU T
NR_4.0_14080.1 315D A,B
NR_4.0_36828.1 5ZWM H,I,F
NR_4.0_83830.1 5MPS 6
NR_4.0_91105.1 4OOG D
NR_4.0_89476.1 5JRC E
NR_4.0_96162.2 7EL1 B
NR_4.0_10255.27 7O7Y B7
NR_4.0_91544.1 3BSX C
NR_4.0_80237.1 7SZU R
NR_4.0_88592.1 7ORM P,T
NR_4.0_77294.1 5NDH A
NR_4.0_83036.1 4W5N B
NR_4.0_00306.1 6ALG R
NR_4.0_76670.1 3BSB C
NR_4.0_04974.3 4U3L A,B
NR_4.0_83027.1 3NPQ A
NR_4.0_80487.1 8ASD E
NR_4.0_01643.1 6EXN 2,6
NR_4.0_77921.1 1I6H R
NR_4.0_07962.1 7LNE A,B
NR_4.0_25369.1 3NJ7 C,D
NR_4.0_00075.1 7AC7 4
NR_4.0_47156.1 2IL9 A
NR_4.0_35047.1 7DIC C
NR_4.0_52870.1 5JC7 X,Y
NR_4.0_39170.1 7PNV A
NR_4.0_59612.1 2DB3 E
NR_4.0_34432.1 5XON P
NR_4.0_27149.1 6QCT R,M
NR_4.0_86424.1 3R2C R
NR_4.0_76909.1 3RW6 H
NR_4.0_32785.1 4G0A G
NR_4.0_24630.1 4G0A F
NR_4.0_74729.1 4G0A E
NR_4.0_23218.1 3QRR B
NR_4.0_95755.2 3J79 A,C
NR_4.0_41649.1 6SQN Y
NR_4.0_79353.1 6NEQ A
NR_4.0_66641.1 7ELH N,O
NR_4.0_30399.1 5BKL a
NR_4.0_66984.1 3IVN A
NR_4.0_69936.1 3GTQ R
NR_4.0_22038.1 7BAH C,D
NR_4.0_58101.1 7AM2 1
NR_4.0_28848.1 4V92 AZ
NR_4.0_43749.1 2Q1O C,D
NR_4.0_25852.1 1M8V P
NR_4.0_80545.1 5BKL WW,V
NR_4.0_13250.1 4QIK C,D
NR_4.0_51487.1 4L8H R
NR_4.0_25893.1 4ERD C,D
NR_4.0_84831.1 5HKC C
NR_4.0_20024.1 5H3U C
NR_4.0_57789.1 6UZ7 5,8
NR_4.0_86148.1 5A0T E
NR_4.0_35629.1 2O5I Y
NR_4.0_72506.1 7SVA B
NR_4.0_95082.1 4FRN B
NR_4.0_02335.1 5VSU I
NR_4.0_14866.1 5KK5 B
NR_4.0_45040.1 3EPH E
NR_4.0_63269.1 6Q8V A
NR_4.0_20090.1 7PWO 2
NR_4.0_52535.1 7WIE V
NR_4.0_11428.1 4ANG R
NR_4.0_72651.1 6ZQG D5
NR_4.0_05707.1 4QJH F
NR_4.0_23118.1 5HBY A
NR_4.0_79100.1 6D12 C
NR_4.0_80768.1 6AR1 C
NR_4.0_38581.2 6C66 J
NR_4.0_13465.1 7PKT 1
NR_4.0_45692.1 2XBM E,F
NR_4.0_53179.1 1RMV B
NR_4.0_63322.1 6FPX B
NR_4.0_51130.1 7ZW0 sn
NR_4.0_74421.1 1F1T A
NR_4.0_22602.1 4QU7 X
NR_4.0_04754.1 5U3G B
NR_4.0_06496.1 5E6M C
NR_4.0_51844.1 7M3T X,m
NR_4.0_31084.1 4K4V B
NR_4.0_47433.1 3V7E C
NR_4.0_20717.1 7PKT 0
NR_4.0_95825.1 7Q2S B
NR_4.0_48333.1 6FPX D
NR_4.0_22035.1 7ABZ 4
NR_4.0_74958.1 7SFR a
NR_4.0_26846.1 1JBR C,F
NR_4.0_48272.1 4DZS D
NR_4.0_03509.1 6PMI 3
NR_4.0_15098.1 7M3T bb
NR_4.0_09775.1 5AH5 D
NR_4.0_36514.1 4GXY A
NR_4.0_32544.1 1LNT A,B
NR_4.0_27778.1 5WT1 C
NR_4.0_13125.1 1G1X D,E
NR_4.0_20856.1 5HJZ C
NR_4.0_70777.1 7SWQ B,D
